label,epoch,rho,verified_area_pct,sublevel_area_pct
ep000,0,0.015385320782661438,0.007715751707110065,0.011573627560665097
ep000,0,0.030770641565322877,0.01543150341422013,0.04243663438910536
ep000,0,0.04615596234798432,0.023147255121330194,0.06172601365688052
ep000,0,0.06154128313064575,0.034720882681995295,0.11573627560665098
ep000,0,0.07692660391330719,0.04629451024266039,0.15431503414220132
ep000,0,0.09231192469596863,0.05786813780332549,0.2006095443848617
ep000,0,0.10769724547863008,0.07329964121754562,0.25076193048107714
ep000,0,0.1230825662612915,0.08487326877821072,0.3047721924308476
ep000,0,0.13846788704395294,0.10416264804598589,0.3742139577948382
ep000,0,0.15385320782661438,0.11959415146020601,0.43208209559816363
ep000,0,0.16923852860927582,0.1427414065815362,0.5015238609621543
ep000,0,0.18462384939193727,0.16203078584931138,0.5709656263261448
ep020,20,0.0033345306292176247,0.0,0.0038578758535550324
ep020,20,0.006669061258435249,0.0,0.0038578758535550324
ep020,20,0.010003591887652874,0.011573627560665097,0.019289379267775165
ep020,20,0.013338122516870499,0.027005130974885227,0.034720882681995295
ep020,20,0.016672653146088123,0.03086300682844026,0.03857875853555033
ep020,20,0.020007183775305748,0.04629451024266039,0.054010261949770454
ep020,20,0.023341714404523373,0.050152386096215425,0.05786813780332549
ep020,20,0.026676245033740997,0.06944176536399059,0.07715751707110066
ep020,20,0.030010775662958622,0.08873114463176575,0.0964468963388758
ep020,20,0.03334530629217625,0.0964468963388758,0.10416264804598589
ep020,20,0.03667983692139387,0.10802052389954091,0.11573627560665098
ep020,20,0.040014367550611496,0.12730990316731608,0.13502565487442614
ep040,40,0.0011964144185185432,0.0,0.0038578758535550324
ep040,40,0.002392828837037087,0.0,0.0038578758535550324
ep040,40,0.0035892432555556303,0.007715751707110065,0.011573627560665097
ep040,40,0.004785657674074174,0.007715751707110065,0.011573627560665097
ep040,40,0.005982072092592717,0.023147255121330194,0.027005130974885227
ep040,40,0.0071784865111112605,0.03086300682844026,0.034720882681995295
ep040,40,0.008374900929629803,0.04243663438910536,0.04629451024266039
ep040,40,0.009571315348148347,0.04629451024266039,0.050152386096215425
ep040,40,0.01076772976666689,0.050152386096215425,0.054010261949770454
ep040,40,0.011964144185185432,0.06944176536399059,0.07329964121754562
ep040,40,0.013160558603703977,0.08487326877821072,0.08873114463176575
ep040,40,0.01435697302222252,0.08873114463176575,0.09258902048532078
ep060,60,0.0017511192709207535,0.0038578758535550324,0.007715751707110065
ep060,60,0.003502238541841507,0.019289379267775165,0.023147255121330194
ep060,60,0.0052533578127622604,0.03857875853555033,0.04243663438910536
ep060,60,0.007004477083683014,0.06558388951043555,0.06944176536399059
ep060,60,0.008755596354603767,0.08101539292465569,0.08487326877821072
ep060,60,0.010506715625524521,0.11959415146020601,0.12345202731376104
ep060,60,0.012257834896445274,0.14659928243509124,0.15045715828864628
ep060,60,0.014008954167366028,0.17360441340997645,0.1774622892635315
ep060,60,0.01576007343828678,0.20832529609197178,0.21218317194552677
ep060,60,0.017511192709207535,0.24304617877396706,0.24690405462752207
ep060,60,0.01926231198012829,0.2816249373095174,0.2854828131630724
ep060,60,0.021013431251049042,0.3163458199915127,0.3202036958450677
ep080,80,0.0011192340636625886,0.0,0.0038578758535550324
ep080,80,0.002238468127325177,0.01543150341422013,0.019289379267775165
ep080,80,0.0033577021909877653,0.03086300682844026,0.034720882681995295
ep080,80,0.004476936254650354,0.054010261949770454,0.05786813780332549
ep080,80,0.005596170318312942,0.07715751707110066,0.08101539292465569
ep080,80,0.0067154043819755305,0.09258902048532078,0.0964468963388758
ep080,80,0.00783463844563812,0.11187839975309595,0.11573627560665098
ep080,80,0.008953872509300707,0.1427414065815362,0.14659928243509124
ep080,80,0.010073106572963297,0.17360441340997645,0.1774622892635315
ep080,80,0.011192340636625886,0.1928937926777516,0.19675166853130666
ep080,80,0.012311574700288474,0.21604104779908181,0.21989892365263686
ep080,80,0.013430808763951063,0.24690405462752207,0.25076193048107714
ep100,100,0.0010681988205760717,0.0,0.0038578758535550324
ep100,100,0.0021363976411521435,0.023147255121330194,0.027005130974885227
ep100,100,0.0032045964617282152,0.034720882681995295,0.03857875853555033
ep100,100,0.004272795282304287,0.06944176536399059,0.07329964121754562
ep100,100,0.005340994102880359,0.08873114463176575,0.09258902048532078
ep100,100,0.0064091929234564304,0.10802052389954091,0.11187839975309595
ep100,100,0.007477391744032502,0.12730990316731608,0.1311677790208711
ep100,100,0.008545590564608574,0.1658886617028664,0.16974653755642144
ep100,100,0.009613789385184646,0.20446742023841674,0.20832529609197178
ep100,100,0.010681988205760717,0.22761467535974694,0.23147255121330196
ep100,100,0.011750187026336789,0.24690405462752207,0.25076193048107714
ep100,100,0.012818385846912861,0.2854828131630724,0.2893406890166274
ep120,120,0.0010247464757412673,0.0,0.0038578758535550324
ep120,120,0.0020494929514825347,0.03086300682844026,0.034720882681995295
ep120,120,0.003074239427223802,0.04243663438910536,0.04629451024266039
ep120,120,0.004098985902965069,0.07329964121754562,0.07715751707110066
ep120,120,0.005123732378706337,0.10030477219243085,0.10416264804598589
ep120,120,0.0061484788544476044,0.12730990316731608,0.1311677790208711
ep120,120,0.007173225330188871,0.1427414065815362,0.14659928243509124
ep120,120,0.008197971805930139,0.18517804097064156,0.1890359168241966
ep120,120,0.009222718281671406,0.2237567995061919,0.22761467535974694
ep120,120,0.010247464757412674,0.24304617877396706,0.24690405462752207
ep120,120,0.011272211233153941,0.25847768218818723,0.2623355580417422
ep120,120,0.012296957708895207,0.3047721924308476,0.30863006828440265
ep140,140,0.0009021594654768706,0.0038578758535550324,0.007715751707110065
ep140,140,0.0018043189309537412,0.027005130974885227,0.03086300682844026
ep140,140,0.002706478396430612,0.04243663438910536,0.04629451024266039
ep140,140,0.0036086378619074825,0.054010261949770454,0.05786813780332549
ep140,140,0.004510797327384353,0.0964468963388758,0.10030477219243085
ep140,140,0.005412956792861223,0.11959415146020601,0.12345202731376104
ep140,140,0.006315116258338095,0.13888353072798118,0.1427414065815362
ep140,140,0.007217275723814965,0.15431503414220132,0.15817290999575634
ep140,140,0.008119435189291835,0.2006095443848617,0.20446742023841674
ep140,140,0.009021594654768705,0.23147255121330196,0.235330427066857
ep140,140,0.009923754120245576,0.25076193048107714,0.25461980633463216
ep140,140,0.010825913585722447,0.2739091856024073,0.27776706145596236
ep160,160,0.0009782114764675498,0.007715751707110065,0.011573627560665097
ep160,160,0.0019564229529351,0.034720882681995295,0.03857875853555033
ep160,160,0.00293463442940265,0.054010261949770454,0.05786813780332549
ep160,160,0.0039128459058702,0.08873114463176575,0.09258902048532078
ep160,160,0.00489105738233775,0.11187839975309595,0.11573627560665098
ep160,160,0.0058692688588053,0.13888353072798118,0.1427414065815362
ep160,160,0.00684748033527285,0.14659928243509124,0.15045715828864628
ep160,160,0.0078256918117404,0.20446742023841674,0.20832529609197178
ep160,160,0.008803903288207949,0.22761467535974694,0.23147255121330196
ep160,160,0.009782114764675498,0.25847768218818723,0.2623355580417422
ep160,160,0.010760326241143049,0.2854828131630724,0.2893406890166274
ep160,160,0.011738537717610598,0.3163458199915127,0.3202036958450677
ep180,180,0.0010441930498927832,0.007715751707110065,0.011573627560665097
ep180,180,0.0020883860997855663,0.03857875853555033,0.04243663438910536
ep180,180,0.0031325791496783495,0.054010261949770454,0.05786813780332549
ep180,180,0.004176772199571133,0.0964468963388758,0.10030477219243085
ep180,180,0.005220965249463916,0.13502565487442614,0.13888353072798118
ep180,180,0.006265158299356699,0.1427414065815362,0.14659928243509124
ep180,180,0.007309351349249482,0.1928937926777516,0.19675166853130666
ep180,180,0.008353544399142265,0.22761467535974694,0.23147255121330196
ep180,180,0.009397737449035048,0.2623355580417422,0.26619343389529726
ep180,180,0.010441930498927832,0.2854828131630724,0.2893406890166274
ep180,180,0.011486123548820615,0.3163458199915127,0.3202036958450677
ep180,180,0.012530316598713398,0.3703560819412831,0.3742139577948382
ep200,200,0.0006239675218239427,0.0,0.0038578758535550324
ep200,200,0.0012479350436478851,0.023147255121330194,0.027005130974885227
ep200,200,0.0018719025654718277,0.03857875853555033,0.04243663438910536
ep200,200,0.0024958700872957703,0.054010261949770454,0.05786813780332549
ep200,200,0.003119837609119713,0.05786813780332549,0.06172601365688052
ep200,200,0.0037438051309436554,0.08487326877821072,0.08873114463176575
ep200,200,0.0043677726527675985,0.10802052389954091,0.11187839975309595
ep200,200,0.004991740174591541,0.13888353072798118,0.1427414065815362
ep200,200,0.005615707696415484,0.13888353072798118,0.1427414065815362
ep200,200,0.006239675218239427,0.15045715828864628,0.15431503414220132
ep200,200,0.006863642740063369,0.17360441340997645,0.1774622892635315
ep200,200,0.007487610261887312,0.20446742023841674,0.20832529609197178
ep220,220,0.0009194466518238187,0.007715751707110065,0.011573627560665097
ep220,220,0.0018388933036476375,0.03857875853555033,0.04243663438910536
ep220,220,0.002758339955471456,0.054010261949770454,0.05786813780332549
ep220,220,0.003677786607295275,0.08101539292465569,0.08487326877821072
ep220,220,0.004597233259119093,0.11959415146020601,0.12345202731376104
ep220,220,0.005516679910942912,0.13888353072798118,0.1427414065815362
ep220,220,0.006436126562766731,0.16203078584931138,0.1658886617028664
ep220,220,0.00735557321459055,0.2006095443848617,0.20446742023841674
ep220,220,0.008275019866414369,0.235330427066857,0.23918830292041202
ep220,220,0.009194466518238187,0.2700513097488523,0.2739091856024073
ep220,220,0.010113913170062005,0.2854828131630724,0.2893406890166274
ep220,220,0.011033359821885825,0.30863006828440265,0.3124879441379576
ep240,240,0.0006132888374850154,0.0038578758535550324,0.007715751707110065
ep240,240,0.0012265776749700308,0.019289379267775165,0.023147255121330194
ep240,240,0.0018398665124550462,0.03857875853555033,0.04243663438910536
ep240,240,0.0024531553499400616,0.054010261949770454,0.05786813780332549
ep240,240,0.003066444187425077,0.06558388951043555,0.06944176536399059
ep240,240,0.0036797330249100924,0.07715751707110066,0.08101539292465569
ep240,240,0.004293021862395108,0.11187839975309595,0.11573627560665098
ep240,240,0.004906310699880123,0.13888353072798118,0.1427414065815362
ep240,240,0.0055195995373651385,0.1427414065815362,0.14659928243509124
ep240,240,0.006132888374850154,0.15817290999575634,0.16203078584931138
ep240,240,0.006746177212335169,0.1774622892635315,0.1813201651170865
ep240,240,0.007359466049820185,0.20446742023841674,0.20832529609197178
ep260,260,0.0007837985409423709,0.007715751707110065,0.011573627560665097
ep260,260,0.0015675970818847418,0.03857875853555033,0.04243663438910536
ep260,260,0.002351395622827113,0.054010261949770454,0.05786813780332549
ep260,260,0.0031351941637694837,0.06944176536399059,0.07329964121754562
ep260,260,0.0039189927047118545,0.09258902048532078,0.0964468963388758
ep260,260,0.004702791245654226,0.12730990316731608,0.1311677790208711
ep260,260,0.005486589786596597,0.1427414065815362,0.14659928243509124
ep260,260,0.006270388327538967,0.16203078584931138,0.1658886617028664
ep260,260,0.0070541868684813385,0.1890359168241966,0.1928937926777516
ep260,260,0.007837985409423709,0.21989892365263686,0.2237567995061919
ep260,260,0.00862178395036608,0.25847768218818723,0.2623355580417422
ep260,260,0.009405582491308451,0.2816249373095174,0.2854828131630724
ep280,280,0.000667163240723312,0.007715751707110065,0.011573627560665097
ep280,280,0.001334326481446624,0.027005130974885227,0.03086300682844026
ep280,280,0.002001489722169936,0.04243663438910536,0.04629451024266039
ep280,280,0.002668652962893248,0.054010261949770454,0.05786813780332549
ep280,280,0.00333581620361656,0.06944176536399059,0.07329964121754562
ep280,280,0.004002979444339872,0.10030477219243085,0.10416264804598589
ep280,280,0.004670142685063184,0.12730990316731608,0.1311677790208711
ep280,280,0.005337305925786496,0.13888353072798118,0.1427414065815362
ep280,280,0.006004469166509808,0.15817290999575634,0.16203078584931138
ep280,280,0.00667163240723312,0.1813201651170865,0.18517804097064156
ep280,280,0.007338795647956432,0.2006095443848617,0.20446742023841674
ep280,280,0.008005958888679743,0.22761467535974694,0.23147255121330196
ep300,300,0.0005325396778061986,0.007715751707110065,0.011573627560665097
ep300,300,0.0010650793556123972,0.007715751707110065,0.011573627560665097
ep300,300,0.0015976190334185958,0.03857875853555033,0.04243663438910536
ep300,300,0.0021301587112247944,0.04629451024266039,0.050152386096215425
ep300,300,0.002662698389030993,0.05786813780332549,0.06172601365688052
ep300,300,0.0031952380668371916,0.06944176536399059,0.07329964121754562
ep300,300,0.00372777774464339,0.08487326877821072,0.08873114463176575
ep300,300,0.004260317422449589,0.11573627560665098,0.11959415146020601
ep300,300,0.004792857100255787,0.1311677790208711,0.13502565487442614
ep300,300,0.005325396778061986,0.1427414065815362,0.14659928243509124
ep300,300,0.005857936455868185,0.15431503414220132,0.15817290999575634
ep300,300,0.006390476133674383,0.17360441340997645,0.1774622892635315
ep320,320,0.000681608053855598,0.007715751707110065,0.011573627560665097
ep320,320,0.001363216107711196,0.027005130974885227,0.03086300682844026
ep320,320,0.002044824161566794,0.04629451024266039,0.050152386096215425
ep320,320,0.002726432215422392,0.06172601365688052,0.06558388951043555
ep320,320,0.0034080402692779903,0.06944176536399059,0.07329964121754562
ep320,320,0.004089648323133588,0.10416264804598589,0.10802052389954091
ep320,320,0.004771256376989186,0.1311677790208711,0.13502565487442614
ep320,320,0.005452864430844784,0.1427414065815362,0.14659928243509124
ep320,320,0.0061344724847003824,0.1658886617028664,0.16974653755642144
ep320,320,0.006816080538555981,0.1813201651170865,0.18517804097064156
ep320,320,0.007497688592411579,0.20446742023841674,0.20832529609197178
ep320,320,0.008179296646267176,0.235330427066857,0.23918830292041202
ep340,340,0.0007067962316796183,0.007715751707110065,0.011573627560665097
ep340,340,0.0014135924633592366,0.03857875853555033,0.04243663438910536
ep340,340,0.002120388695038855,0.04629451024266039,0.050152386096215425
ep340,340,0.002827184926718473,0.06558388951043555,0.06944176536399059
ep340,340,0.0035339811583980914,0.07329964121754562,0.07715751707110066
ep340,340,0.00424077739007771,0.11959415146020601,0.12345202731376104
ep340,340,0.004947573621757328,0.1311677790208711,0.13502565487442614
ep340,340,0.005654369853436946,0.15431503414220132,0.15817290999575634
ep340,340,0.0063611660851165645,0.16974653755642144,0.17360441340997645
ep340,340,0.007067962316796183,0.1890359168241966,0.1928937926777516
ep340,340,0.007774758548475801,0.21604104779908181,0.21989892365263686
ep340,340,0.00848155478015542,0.24690405462752207,0.25076193048107714
final,341,0.0007864993996918201,0.007715751707110065,0.011573627560665097
final,341,0.0015729987993836402,0.03857875853555033,0.04243663438910536
final,341,0.0023594981990754603,0.054010261949770454,0.05786813780332549
final,341,0.0031459975987672803,0.06944176536399059,0.07329964121754562
final,341,0.003932496998459101,0.10030477219243085,0.10416264804598589
final,341,0.004718996398150921,0.1311677790208711,0.13502565487442614
final,341,0.005505495797842741,0.1427414065815362,0.14659928243509124
final,341,0.006291995197534561,0.1658886617028664,0.16974653755642144
final,341,0.007078494597226381,0.1890359168241966,0.1928937926777516
final,341,0.007864993996918201,0.21989892365263686,0.2237567995061919
final,341,0.008651493396610022,0.25847768218818723,0.2623355580417422
final,341,0.009437992796301841,0.2739091856024073,0.27776706145596236
